Sex,Age,Time_at_address,Res_status,Telephone,Occupation,Job_status,Time_employed,Time_bank,Liab_ref,Acc_ref,Home_Expn,Balance,Decision
M,27.5799999237061,3.25,rent,not_given,office_st,governmen,5,2,t,given,369,1,reject
M,25.75,0.5,owner,given,creative_,private_s,1,5,t,given,312,0,accept
M,27.8299999237061,1.5,owner,given,productio,private_s,2,11,t,given,434,35,accept
M,40.5800018310547,5,owner,given,creative_,private_s,5,7,f,given,0,3065,accept
F,28.4200000762939,3.5,owner,given,productio,private_s,0,0,f,oth_inst_,280,0,accept
F,65.1699981689453,14,owner,given,unemploye,unemploye,0,11,t,given,0,1400,accept
M,26.1700000762939,0.25,owner,given,guard_etc,self_empl,0,0,t,given,0,0,accept
M,32.4199981689453,3,owner,given,driver,private_s,0,0,t,given,120,0,reject
M,31.4200000762939,15.5,owner,given,creative_,private_s,0,0,f,given,120,0,reject
F,30.6700000762939,12,owner,given,creative_,private_s,2,1,f,given,220,19,accept
M,19.4200000762939,6.5,owner,given,productio,governmen,1,7,f,given,80,2954,accept
M,27,0.75,owner,given,creative_,governmen,4,3,t,given,312,150,accept
M,31.0799999237061,1.5,rent,not_given,productio,private_s,0,0,f,oth_inst_,160,0,reject
F,20.0799999237061,1.25,owner,given,creative_,private_s,0,0,f,given,0,0,reject
M,32,1.75,rent,not_given,executive,governmen,0,0,t,given,393,0,accept
M,23.1700000762939,0,owner,given,semi_pro,private_s,0,0,f,given,0,0,accept
F,36.75,4.71000003814697,owner,given,unemploye,unemploye,0,0,f,given,160,0,reject
M,28.9200000762939,0.375,owner,given,creative_,private_s,0,0,f,given,220,140,reject
M,22.1700000762939,12.125,owner,given,creative_,private_s,3,2,t,given,180,173,reject
M,44,2,owner,given,manager,private_s,1,2,t,given,0,15,accept
F,39.0800018310547,4,owner,given,creative_,private_s,3,0,f,given,480,0,reject
F,30.4200000762939,1.375,owner,given,productio,governmen,0,3,f,given,0,33,reject
M,33.5,1.75,owner,given,professio,governmen,4,4,t,given,253,857,accept
M,39.25,9.5,owner,given,manager,private_s,6,14,f,given,240,4607,accept
F,30.5,6.5,owner,given,creative_,self_empl,4,7,t,given,0,3065,accept
F,41.3300018310547,1,owner,given,guard_etc,self_empl,2,0,t,given,0,300,accept
F,57.0800018310547,0.33500000834465,owner,given,guard_etc,self_empl,1,0,t,given,252,2197,reject
M,21.3299999237061,10.5,owner,given,creative_,private_s,3,0,t,given,0,0,accept
F,24.0799999237061,0.5,owner,given,office_st,governmen,1,1,f,given,0,678,accept
M,26.6700000762939,4.25,owner,given,semi_pro,private_s,4,1,t,given,120,0,accept
M,69.1699981689453,9,owner,given,unemploye,unemploye,4,1,f,given,70,6,reject
F,21.9200000762939,11.664999961853,owner,given,labourer,governmen,0,0,f,given,320,5,reject
M,29.5799999237061,4.75,owner,given,manager,private_s,2,1,t,given,460,68,reject
M,26.9200000762939,2.25,owner,given,guard_etc,self_empl,0,0,t,given,640,4000,reject
M,16.0799999237061,0.75,owner,given,creative_,private_s,1,5,t,given,352,690,accept
M,31.8299999237061,0.0399999991059303,rent,not_given,manager,private_s,0,0,f,given,0,0,reject
M,16.25,0.834999978542328,owner,given,manager,private_s,0,0,f,oth_inst_,200,0,reject
M,24.3299999237061,6.625,rent,not_given,driver,private_s,5,0,t,oth_inst_,100,0,accept
M,15.1700000762939,7,owner,given,executive,private_s,1,0,f,given,600,0,reject
M,21.0799999237061,4.125,rent,not_given,guard_etc,governmen,0,0,f,given,140,100,reject
M,51.8300018310547,2.03999996185303,rent,not_given,unemploye,unemploye,1,0,f,given,120,1,reject
M,20.5,2.41499996185303,owner,given,creative_,private_s,2,11,t,given,200,3000,accept
M,37.5,0.834999978542328,owner,given,executive,private_s,0,0,f,given,120,5,reject
M,16.5,0.125,owner,given,creative_,private_s,0,0,f,given,132,0,reject
M,30.1700000762939,0.5,owner,given,creative_,private_s,1,11,f,given,32,540,accept
M,34,5.08500003814697,rent,not_given,guard_etc,self_empl,1,0,t,given,480,0,reject
F,41.5800018310547,1.03999996185303,owner,given,sales,private_s,0,0,f,given,240,237,reject
F,46.6699981689453,0.46000000834465,owner,given,semi_pro,governmen,0,11,t,given,440,6,accept
F,26.0799999237061,8.66499996185303,owner,given,sales,private_s,1,0,f,given,160,150,accept
M,22.5,11.5,rent,not_given,manager,private_s,1,0,t,given,0,4000,reject
M,19.4200000762939,1.5,rent,not_given,semi_pro,private_s,2,0,t,given,100,20,reject
F,25.1700000762939,2.875,owner,given,professio,governmen,0,0,f,given,360,0,accept
M,27,1.5,rent,not_given,productio,private_s,0,0,t,given,260,1065,accept
M,22.6700000762939,0.165000006556511,owner,given,creative_,private_s,2,0,t,oth_inst_,0,0,accept
M,18.8299999237061,0,owner,given,office_st,private_s,0,0,f,given,160,1,reject
M,34.1699981689453,1.53999996185303,owner,given,semi_pro,private_s,1,1,t,given,520,50000,accept
M,20.6700000762939,0.834999978542328,rent,not_given,creative_,private_s,2,0,t,oth_inst_,240,0,reject
F,28.5,3.03999996185303,rent,not_given,professio,governmen,2,1,f,given,70,0,accept
F,17.8299999237061,11,owner,given,professio,governmen,1,11,f,given,0,3000,accept
F,37.3300018310547,2.5,owner,given,guard_etc,governmen,0,0,f,given,260,246,reject
M,24.1700000762939,0.875,owner,given,office_st,private_s,4,2,t,given,520,2000,accept
F,35.1699981689453,3.75,owner,given,unemploye,unemploye,0,6,f,given,0,200,reject
M,35.5800018310547,0.75,owner,given,labourer,private_s,1,0,t,given,231,0,reject
M,39,5,owner,given,semi_pro,private_s,3,10,t,given,0,0,accept
F,19.6700000762939,0.209999993443489,owner,given,office_st,governmen,0,11,f,given,80,99,accept
M,33.5800018310547,2.75,owner,given,manager,private_s,4,6,f,given,204,0,accept
F,50.0800018310547,12.539999961853,owner,given,sales,private_s,2,3,t,given,156,0,accept
M,22.25,9,owner,given,sales,private_s,0,0,f,given,0,0,reject
M,22.6700000762939,0.75,owner,given,guard_etc,private_s,1,1,t,given,400,9,reject
M,23.5,3.16499996185303,rent,not_given,labourer,private_s,0,1,t,given,280,80,reject
M,23.5799999237061,1.78999996185303,owner,given,creative_,private_s,0,0,t,given,136,1,reject
F,16.9200000762939,0.5,owner,given,guard_etc,private_s,0,6,t,given,240,35,reject
M,40,6.5,owner,given,sales,self_empl,3,1,f,given,0,500,accept
M,36.4199981689453,0.75,rent,not_given,driver,private_s,0,0,f,given,240,3,reject
M,29.5799999237061,4.5,owner,given,productio,private_s,7,2,t,given,330,0,accept
M,31.25,2.83500003814697,owner,given,unemploye,unemploye,0,5,f,given,176,146,reject
M,42,9.78999996185303,owner,given,professio,governmen,7,8,f,given,0,0,accept
M,20.6700000762939,5.28999996185303,owner,given,office_st,private_s,0,1,f,given,160,0,reject
M,43.25,25.2099990844727,owner,given,office_st,governmen,0,1,f,given,760,90,reject
M,27.5799999237061,2.03999996185303,rent,not_given,sales,private_s,2,3,t,given,370,560,accept
F,23.5799999237061,0.829999983310699,owner,given,office_st,private_s,0,1,t,given,200,11,reject
M,34.0800018310547,2.5,owner,given,creative_,private_s,1,0,f,given,460,16,reject
M,34.0800018310547,6.5,owner,given,sales,private_s,0,0,t,given,443,0,reject
F,22.6700000762939,0.790000021457672,owner,given,guard_etc,private_s,0,0,f,given,144,0,reject
M,42.5,4.91499996185303,rent,not_given,productio,private_s,3,0,t,given,52,1442,accept
F,36,1,owner,given,creative_,private_s,2,11,f,given,0,456,accept
F,20.6700000762939,3,owner,given,office_st,private_s,0,3,f,given,100,6,accept
M,21.3299999237061,7.5,owner,given,sales,private_s,1,1,f,given,80,9800,accept
M,22,0.790000021457672,owner,given,productio,private_s,0,1,f,given,420,283,reject
M,29.8299999237061,1.25,rent,not_given,labourer,private_s,0,0,f,given,224,0,reject
M,34.1699981689453,5.25,owner,given,productio,private_s,0,0,t,given,290,6,accept
F,23.5799999237061,11.5,rent,not_given,labourer,governmen,3,0,t,given,20,16,reject
F,33.75,0.75,owner,given,labourer,self_empl,1,3,t,given,212,0,reject
M,39.4199981689453,1.71000003814697,rent,not_given,manager,private_s,0,0,f,oth_inst_,400,0,reject
F,30.25,5.5,owner,given,labourer,private_s,5,0,t,oth_inst_,100,0,reject
M,40.9199981689453,2.25,rent,not_given,professio,governmen,10,0,t,given,176,0,reject
M,20.25,9.96000003814697,owner,given,executive,student,0,0,f,given,0,0,accept
M,25.0799999237061,1.71000003814697,owner,given,professio,private_s,1,1,t,given,395,20,accept
M,28.25,5.125,owner,given,professio,private_s,4,2,f,given,420,7,accept
M,28.25,5.03999996185303,rent,not_given,creative_,self_empl,1,8,t,given,144,7,accept
M,53.9199981689453,9.625,owner,given,executive,private_s,8,5,f,given,0,0,accept
F,33.0800018310547,1.625,owner,given,driver,private_s,0,0,t,given,0,0,reject
M,22.0799999237061,2.33500003814697,owner,given,labourer,private_s,0,0,f,given,180,0,reject
F,22.9200000762939,1.25,owner,given,office_st,private_s,0,0,t,given,120,809,reject
F,41.1699981689453,6.5,owner,given,office_st,private_s,0,3,t,given,145,0,accept
F,18.4200000762939,9.25,owner,given,office_st,private_s,1,4,f,given,60,540,accept
F,47.4199981689453,8,owner,given,executive,self_empl,6,6,f,given,375,51100,accept
F,21.75,1.75,rent,not_given,labourer,private_s,0,0,f,given,160,0,reject
F,35.4199981689453,12,owner,given,office_st,governmen,14,8,f,given,0,6590,accept
F,24.8299999237061,4.5,owner,given,productio,private_s,1,0,t,given,360,6,reject
M,41.1699981689453,1.25,rent,not_given,productio,private_s,0,0,f,given,0,195,reject
M,56,12.5,owner,given,labourer,governmen,8,0,t,given,24,2028,accept
M,18.3299999237061,1.21000003814697,rent,not_given,executive,student,0,0,f,given,100,0,reject
F,24.75,12.5,owner,given,sales,private_s,1,12,t,given,120,567,accept
M,19.5799999237061,0.584999978542328,owner,given,unemploye,unemploye,0,3,f,given,350,769,reject
M,48.0800018310547,3.75,owner,given,guard_etc,self_empl,1,0,f,given,100,2,reject
F,19.75,0.75,owner,given,creative_,private_s,0,5,t,given,140,5,reject
F,20.75,9.53999996185303,owner,given,guard_etc,private_s,0,0,f,given,200,1000,reject
M,31.9200000762939,4.46000003814697,owner,given,semi_pro,governmen,6,3,f,given,311,300,accept
F,32.3300018310547,0.540000021457672,owner,given,semi_pro,private_s,0,0,f,given,440,11177,accept
M,19.1700000762939,9.5,owner,given,productio,private_s,1,0,f,given,120,2206,accept
M,35.1699981689453,2.5,owner,given,labourer,private_s,4,7,f,given,150,1270,accept
M,28,3,owner,given,productio,private_s,0,0,t,given,300,67,reject
F,15.8299999237061,0.584999978542328,owner,given,creative_,governmen,1,2,f,given,100,0,accept
F,23.5,1.5,owner,given,productio,private_s,0,0,t,given,160,0,reject
M,29.5,0.579999983310699,owner,given,productio,private_s,0,1,f,given,340,2803,reject
F,46.0800018310547,3,owner,given,creative_,private_s,2,8,t,given,396,4159,accept
F,33.0800018310547,4.625,owner,given,office_st,governmen,1,2,f,given,0,0,accept
F,47.4199981689453,3,owner,given,professio,private_s,13,2,t,given,519,1704,accept
M,40.5800018310547,1.5,owner,given,guard_etc,self_empl,0,0,f,oth_inst_,300,0,reject
F,38.75,1.5,owner,given,unemploye,unemploye,0,0,f,given,76,0,reject
M,22.8299999237061,3,owner,given,manager,private_s,1,1,f,given,260,800,accept
M,34.1699981689453,9.17000007629395,owner,given,creative_,private_s,4,12,t,given,0,221,accept
M,19.5,9.58500003814697,owner,given,sales,private_s,0,0,f,given,80,350,reject
M,27.25,0.625,owner,given,sales,private_s,0,0,t,given,200,0,reject
M,20,11.0450000762939,owner,given,creative_,private_s,2,0,t,given,136,0,reject
F,29.5,1.08500003814697,rent,not_given,professio,private_s,1,0,f,given,280,13,reject
M,23.75,0.41499999165535,rent,not_given,creative_,private_s,0,2,f,given,128,6,reject
F,23.25,5.875,owner,given,office_st,private_s,3,10,f,given,120,245,accept
F,50.25,0.834999978542328,owner,given,sales,private_s,0,0,t,given,240,117,reject
F,23,1.83500003814697,owner,given,labourer,private_s,0,1,f,given,200,53,reject
F,19.5799999237061,0.665000021457672,owner,given,productio,private_s,1,0,f,given,220,5,reject
F,28.0799999237061,15,rent,not_given,executive,retired,0,0,f,given,0,13212,accept
M,25.6700000762939,2.21000003814697,rent,not_given,sales,private_s,4,0,f,given,188,0,reject
M,57.8300018310547,7.03999996185303,owner,given,manager,private_s,14,6,t,given,360,1332,accept
M,37.5,1.75,rent,not_given,creative_,self_empl,0,0,t,given,164,400,reject
F,15.75,0.375,owner,given,creative_,private_s,1,0,f,given,120,18,reject
M,24.5799999237061,12.5,owner,given,productio,private_s,0,0,t,given,260,0,reject
M,43.0800018310547,0.375,rent,not_given,creative_,private_s,0,8,t,given,300,162,accept
M,21.5,9.75,owner,given,creative_,private_s,0,0,f,given,140,0,reject
F,18.9200000762939,9.25,rent,not_given,creative_,private_s,1,4,t,given,80,500,accept
M,36.6699981689453,2,owner,given,guard_etc,private_s,0,0,t,given,221,0,reject
M,26,1,owner,given,office_st,private_s,1,0,t,given,280,0,accept
M,29.8299999237061,3.5,owner,given,creative_,private_s,0,0,f,given,216,0,reject
M,42,0.204999998211861,owner,given,guard_etc,governmen,5,0,f,given,400,0,accept
M,42.8300018310547,1.25,owner,given,manager,private_s,13,1,t,given,352,112,reject
M,25,11.25,owner,given,creative_,private_s,2,17,f,given,200,1208,accept
F,25,0.875,owner,given,professio,governmen,1,0,t,given,160,5860,accept
M,22.6700000762939,1.58500003814697,rent,not_given,productio,private_s,3,6,f,given,80,0,accept
M,32.0800018310547,4,owner,given,manager,private_s,2,0,t,given,360,0,accept
F,21.5,6,owner,given,sales,private_s,2,3,f,given,80,918,accept
M,76.75,22.2900009155273,owner,given,executive,retired,12,1,t,given,0,109,accept
M,39.8300018310547,0.5,owner,given,manager,private_s,0,0,f,oth_inst_,288,0,reject
M,41.3300018310547,0,owner,given,creative_,self_empl,15,0,f,given,0,0,accept
M,32.3300018310547,3.5,owner,given,labourer,private_s,0,0,t,given,232,0,reject
M,25.3299999237061,0.579999983310699,owner,given,creative_,private_s,0,7,t,given,96,5124,accept
M,26.75,4.5,rent,not_given,creative_,self_empl,2,0,f,given,200,1210,reject
M,30.1700000762939,1.08500003814697,rent,not_given,creative_,private_s,0,0,f,given,170,179,reject
M,19.3299999237061,10.914999961853,owner,given,creative_,self_empl,0,2,t,given,200,7,reject
F,29.5,0.46000000834465,owner,given,labourer,private_s,0,4,f,given,380,500,accept
M,32.8300018310547,2.5,owner,given,semi_pro,governmen,2,6,f,given,160,2072,accept
M,22.75,11,owner,given,office_st,private_s,2,7,t,given,100,809,accept
M,47.3300018310547,6.5,owner,given,creative_,private_s,1,0,t,given,0,228,reject
M,35.25,16.5,rent,not_given,creative_,private_s,4,0,f,given,80,0,reject
M,37.75,7,owner,given,office_st,governmen,11,7,t,given,300,5,reject
F,22.5,8.46000003814697,rent,not_given,professio,private_s,2,0,f,given,164,0,accept
F,22.8299999237061,2.28999996185303,owner,given,office_st,governmen,2,7,t,given,140,2384,accept
M,22.6700000762939,10.5,owner,given,office_st,governmen,1,0,f,given,100,0,accept
M,39.1699981689453,1.625,owner,given,creative_,private_s,1,10,f,given,186,4700,accept
M,48.3300018310547,12,owner,given,manager,private_s,16,0,f,oth_inst_,110,0,accept
M,26.6700000762939,2.71000003814697,rent,not_given,semi_pro,private_s,5,1,f,given,211,0,accept
M,37.4199981689453,2.03999996185303,owner,given,productio,private_s,0,0,t,given,400,5800,accept
M,29.1700000762939,3.5,owner,given,productio,private_s,3,3,t,given,329,0,reject
F,52.1699981689453,0,rent,not_given,unemploye,unemploye,0,0,f,given,0,0,reject
M,20.1700000762939,9.25,owner,given,creative_,private_s,1,3,t,given,40,28,accept
M,26.6700000762939,14.585000038147,owner,given,guard_etc,self_empl,0,0,t,given,178,0,reject
M,36.0800018310547,2.53999996185303,owner,given,unemploye,unemploye,0,0,f,given,0,1000,reject
M,28.6700000762939,14.5,owner,given,driver,private_s,0,0,f,given,0,286,reject
F,24.5799999237061,0.670000016689301,owner,given,sales,governmen,1,0,f,given,400,0,reject
M,41.75,0.959999978542328,owner,given,professio,private_s,2,0,f,given,510,600,accept
M,22.1700000762939,2.25,owner,given,guard_etc,private_s,0,0,f,given,160,10,reject
M,32.3300018310547,7.5,owner,given,executive,self_empl,1,0,t,oth_inst_,420,0,reject
M,48.5,4.25,owner,given,manager,private_s,0,0,t,given,225,0,accept
M,47.6699981689453,0.28999999165535,owner,given,creative_,self_empl,15,20,f,given,0,15000,accept
M,26.3299999237061,13,owner,given,executive,student,0,0,t,given,140,1110,reject
M,54.8300018310547,15.5,owner,given,executive,retired,0,20,f,given,152,130,reject
M,21.5,11.5,owner,given,guard_etc,private_s,0,0,t,given,100,68,reject
M,19.3299999237061,9.5,owner,given,office_st,private_s,1,0,t,given,60,400,accept
M,23,0.75,owner,given,manager,private_s,0,0,t,oth_inst_,320,0,reject
F,41,2.03999996185303,rent,not_given,office_st,governmen,0,23,t,given,455,1236,accept
M,17.4200000762939,6.5,owner,given,guard_etc,private_s,0,0,f,given,60,100,reject
M,23.25,4,owner,given,creative_,self_empl,0,0,t,given,160,0,accept
M,33.6699981689453,1.25,owner,given,productio,private_s,1,0,f,given,120,0,reject
M,48.25,25.0849990844727,owner,given,productio,private_s,1,3,f,given,120,14,accept
M,33.75,2.75,owner,given,guard_etc,self_empl,0,0,f,given,180,0,reject
M,34.9199981689453,2.5,owner,given,productio,private_s,0,0,t,given,239,200,accept
M,39.9199981689453,6.21000003814697,owner,given,office_st,private_s,0,1,f,given,200,300,accept
M,63.3300018310547,0.540000021457672,owner,given,creative_,private_s,0,3,t,given,180,0,reject
M,17.25,3,owner,given,labourer,private_s,0,0,t,given,160,40,reject
M,42.75,4.08500003814697,owner,given,sales,private_s,0,0,f,given,108,100,reject
F,45.8300018310547,10.5,owner,given,office_st,private_s,5,7,t,given,0,0,accept
M,18.5,2,owner,given,guard_etc,private_s,1,2,f,given,120,300,accept
M,21.1700000762939,0,owner,given,creative_,private_s,0,0,t,oth_inst_,0,0,reject
F,23.4200000762939,0.790000021457672,rent,not_given,office_st,private_s,1,2,t,given,80,400,accept
M,65.4199981689453,11,owner,given,executive,retired,20,7,t,given,22,0,accept
M,29.6700000762939,1.41499996185303,owner,given,productio,governmen,0,1,f,given,240,100,accept
F,28.75,3.75,owner,given,creative_,private_s,1,1,t,given,371,0,accept
M,18.0799999237061,6.75,rent,not_given,manager,private_s,0,0,f,given,140,0,reject
M,74.8300018310547,19,rent,not_given,unemploye,unemploye,0,2,f,given,0,351,reject
F,23.75,0.709999978542328,owner,given,productio,private_s,0,1,t,given,240,4,reject
M,23.0799999237061,2.5,owner,given,creative_,private_s,1,11,t,given,60,2184,accept
M,60.0800018310547,14.5,owner,given,unemploye,unemploye,18,15,t,given,0,1000,accept
M,43.1699981689453,5,owner,given,guard_etc,self_empl,2,0,t,given,141,0,reject
M,43.1699981689453,2.25,owner,given,guard_etc,self_empl,0,0,f,given,560,0,reject
F,30.5799999237061,10.664999961853,owner,given,office_st,governmen,0,12,t,given,129,3,reject
F,16.3299999237061,0.209999993443489,owner,given,sales,private_s,0,0,f,given,200,1,reject
F,31.9200000762939,3.125,owner,given,unemploye,unemploye,3,2,t,given,200,4,reject
M,34.75,2.5,owner,given,semi_pro,self_empl,0,0,f,given,348,0,reject
M,30.75,1.58500003814697,owner,given,driver,private_s,0,0,t,oth_inst_,0,0,reject
M,23.25,1,owner,given,creative_,private_s,0,0,f,oth_inst_,300,0,accept
M,31.6700000762939,16.1650009155273,owner,given,driver,private_s,3,9,f,given,250,730,accept
F,15.9200000762939,2.875,owner,given,office_st,private_s,0,0,f,given,120,0,reject
M,16.3299999237061,2.75,owner,given,sales,private_s,0,1,f,given,80,21,reject
F,19.5,0.165000006556511,owner,given,office_st,private_s,0,0,t,given,380,0,reject
F,60.5800018310547,16.5,owner,given,office_st,private_s,11,0,t,given,21,10561,accept
M,40.9199981689453,0.5,rent,not_given,manager,private_s,0,0,t,given,130,0,reject
F,44.1699981689453,6.66499996185303,owner,given,office_st,private_s,7,3,t,given,0,0,accept
M,32.0800018310547,4,rent,not_given,semi_pro,private_s,1,0,t,given,120,0,reject
F,18.5799999237061,10,owner,given,driver,private_s,0,0,f,given,80,42,reject
F,64.0800018310547,0.165000006556511,owner,given,unemploye,unemploye,0,1,f,given,232,100,accept
F,52.5,7,owner,given,sales,governmen,3,0,f,given,0,0,reject
M,27.75,0.584999978542328,rent,not_given,semi_pro,private_s,0,2,f,given,260,500,accept
M,31.6700000762939,0.829999983310699,owner,given,professio,private_s,1,8,t,given,303,3290,accept
M,26.25,1.53999996185303,owner,given,productio,private_s,0,0,f,given,100,0,reject
M,33.1699981689453,3.16499996185303,rent,not_given,professio,private_s,3,3,t,given,380,0,accept
M,18.6700000762939,5,owner,given,office_st,private_s,0,2,f,given,0,38,reject
M,31.0799999237061,3.08500003814697,owner,given,creative_,private_s,2,2,t,given,160,41,reject
M,23.4200000762939,0.584999978542328,owner,given,creative_,governmen,0,0,f,given,180,0,reject
F,57.0800018310547,19.5,owner,given,creative_,private_s,5,7,f,given,0,3000,accept
